ip,port
196.53.25.184,80
165.225.8.14,10605
165.225.240.117,10605
165.225.240.123,10605
165.225.208.15,10605
165.225.73.23,10605
165.225.196.16,10605
165.225.192.96,10605
165.225.218.108,10605
12.186.206.86,80
,
165.225.20.104,10605
165.225.242.99,10605
159.12.192.13,10605
163.177.151.224,80
165.225.200.95,10605
165.225.12.97,10605
165.225.10.120,10605
165.225.36.178,10605
165.225.210.80,10605
165.225.196.15,10605
176.9.119.170,3128
165.225.73.15,10605
160.202.145.206,80
165.225.218.81,10605
165.225.192.97,10605
,
138.68.161.14,8080
165.225.102.49,10605
165.225.204.107,10605
165.225.192.89,10605
165.225.208.93,10605
182.72.150.242,8080
165.225.94.84,10605
165.225.94.14,10605
165.225.208.82,10605
165.225.240.96,10605
165.225.192.109,10605
165.225.12.118,10605
180.149.145.132,80
165.225.240.77,10605
165.225.94.98,10605
,
165.225.92.102,10605
103.235.46.121,80
165.225.26.82,10605
165.225.194.109,10605
165.225.38.81,10605
165.225.196.93,10605
202.108.22.5,80
165.225.80.71,10605
165.225.192.75,10605
165.225.208.12,10605
165.225.202.93,10605
165.225.192.101,10605
165.225.226.83,10605
165.225.202.120,10605
165.225.226.121,10605
,
165.225.8.95,10605
104.129.194.109,10605
123.125.114.21,80
123.125.115.249,80
123.125.115.74,80
165.225.34.49,10605
165.225.12.101,10605
165.225.94.80,10605
123.125.114.107,80
165.225.202.112,10605
103.122.164.165,5836
3.10.145.250,80
165.225.8.77,10605
165.225.26.79,10605
165.225.72.64,10605
,
165.225.240.83,10605
165.225.192.94,10605
165.225.26.103,10605
165.225.226.79,10605
165.225.12.12,10605
104.129.196.158,10605
165.225.66.51,10605
165.225.8.114,10605
104.129.192.106,10605
117.185.17.16,80
165.225.214.90,10605
165.225.194.108,10605
104.129.194.114,10605
165.225.34.76,10605
165.225.202.109,10605
,
61.135.185.92,80
165.225.202.115,10605
165.225.8.79,10605
165.225.73.17,10605
165.225.26.114,10605
165.225.112.84,10605
165.225.94.110,10605
165.225.38.97,10605
165.225.8.109,10605
165.225.26.48,10605
165.225.222.115,10605
117.95.135.214,4216
121.8.98.197,80
165.225.38.72,10605
46.4.96.137,8080
,
165.225.38.72,10605
104.129.198.65,10605
165.225.112.10,10605
105.27.238.161,80
165.225.204.113,10605
165.225.204.95,10605
165.225.124.90,10605
165.225.192.99,10605
80.211.45.77,80
191.96.42.80,3128
165.225.56.69,10605
104.129.198.56,10605
165.225.240.85,10605
165.225.204.105,10605
165.225.88.49,10605
,
165.225.204.105,10605
104.129.204.40,10605
165.225.196.101,10605
165.225.26.84,10605
105.27.237.25,80
104.129.200.64,10605
104.129.200.32,10605
165.225.218.100,10605
165.225.204.114,10605
165.225.76.75,10605
165.225.80.60,10605
104.129.196.153,10605
165.225.80.225,10605
180.149.145.160,80
165.225.80.75,10605
,
165.225.20.108,10605
165.225.20.88,10605
165.225.76.85,10605
165.225.84.65,10605
165.225.10.115,10605
165.225.80.84,10605
165.225.194.15,10605
165.225.226.117,10605
165.225.94.100,10605
165.225.20.110,10605
165.225.208.90,10605
165.225.208.115,10605
139.162.78.109,3128
165.225.192.12,10605
165.225.8.105,10605
,
165.225.8.105,10605
165.225.26.99,10605
165.225.38.100,10605
165.225.204.98,10605
165.225.110.77,10605
165.225.56.67,10605
105.27.238.167,80
165.225.200.98,10605
165.225.92.86,10605
104.129.196.66,10605
104.129.192.49,10605
165.225.124.89,10605
165.225.112.82,10605
165.225.124.79,10605
165.225.36.176,10605
,
165.225.124.123,10605
165.225.202.103,10605
165.225.204.106,10605
159.203.61.169,8080
165.225.112.83,10605
219.239.142.253,3128
165.225.218.83,10605
165.225.200.104,10605
165.225.200.82,10605
165.225.76.50,10605
47.112.221.156,3128
165.225.208.92,10605
165.225.216.77,10605
167.71.5.83,8080
188.226.141.61,3128
,
23.97.53.135,44355
165.225.20.93,10605
165.225.202.77,10605
165.225.124.101,10605
104.129.205.40,10605
165.225.240.116,10605
187.130.75.77,3128
165.225.72.59,10605
165.225.204.99,10605
165.225.56.82,10605
165.225.73.29,10605
165.225.94.109,10605
159.12.192.12,10605
165.225.12.84,10605
165.225.210.94,10605
,
104.129.196.101,10605
165.225.110.67,10605
165.225.110.70,10605
165.225.204.123,10605
95.179.128.75,8080
104.129.204.220,10605
165.225.76.76,10605
165.225.8.92,10605
138.68.240.218,3128
165.225.124.119,10605
165.225.210.96,10605
165.225.36.66,10605
165.225.50.52,10605
113.214.13.1,1080
165.225.112.90,10605
,
165.225.73.26,10605
123.125.114.18,80
165.225.194.83,10605
165.225.88.51,10605
51.83.73.129,3128
165.225.34.56,10605
165.225.204.117,10605
165.225.208.100,10605
165.225.32.51,10605
165.225.124.102,10605
138.68.161.14,3128
165.225.124.116,10605
34.64.151.70,3128
165.225.112.67,10605
165.225.124.99,10605
,
165.225.56.50,10605
123.125.115.242,80
165.225.202.94,10605
165.225.94.15,10605
165.225.94.95,10605
180.97.33.92,80
165.225.240.86,10605
165.225.38.91,10605
165.225.76.163,10605
182.61.62.74,80
222.74.202.227,9999
104.129.196.32,10605
165.225.192.76,10605
165.225.8.76,10605
165.225.94.96,10605
,
165.225.12.82,10605
165.225.200.77,10605
61.135.186.243,80
88.198.50.103,3128
165.225.72.80,10605
165.225.8.113,10605
165.225.206.122,10605
104.129.202.125,10605
165.225.12.111,10605
165.225.202.14,10605
165.225.12.114,10605
165.225.12.80,10605
165.225.204.104,10605
165.225.206.100,10605
165.225.222.101,10605
,
165.225.240.95,10605
47.75.161.251,80
165.225.222.110,10605
165.225.36.40,10605
165.225.86.42,10605
165.225.20.122,10605
165.225.10.14,10605
165.225.12.102,10605
165.225.208.83,10605
165.225.56.117,10605
165.225.12.103,10605
165.225.194.101,10605
165.225.116.72,10605
165.225.202.122,10605
165.225.36.61,10605
,
165.225.202.88,10605
165.225.124.83,10605
191.232.167.128,8080
165.225.114.8,10605
165.225.92.106,10605
138.197.157.32,3128
88.150.236.115,3128
165.225.194.89,10605
80.187.140.74,80
104.129.196.60,10605
165.225.242.111,10605
8.129.33.40,3128
165.225.200.106,10605
165.225.8.118,10605
165.225.192.80,10605
,
165.225.206.91,10605
165.225.202.113,10605
165.225.8.74,10605
165.225.88.61,10605
117.185.17.144,80
